"Status","Name","Duration in ms","Description"
"skipped","testcase.test_login.TestLogin#test_select_notonline","0",""
"skipped","testcase.test_login.TestLogin#test_select_noline","0",""
"skipped","testcase.test_login.TestLogin#test_carnum","0",""
"skipped","testcase.test_login.TestLogin#test_notonline","0",""
"broken","testcase.test_new_car.TestAuditArticle#test_car_terminal_model","5",""
"passed","testcase.test_end.TestEnd#test_end","0",""
"skipped","testcase.test_login.TestLogin#test_select_carnum","0",""
"passed","testcase.test_begin.TestBegin#test_begin","0",""
"skipped","testcase.test_new_car.TestAuditArticle#test_sim_card","0","
			string.ascii_letters:生成大小写字母（type:字符串）
			string.digits:生成数字（type:字符串）
		"
"skipped","testcase.test_login.TestLogin#test_noline","1",""
"broken","testcase.test_login.TestLogin#test_login_01","0",""
